発売日,メーカー,タイトル,⭐クロスレビュー(評価),容量(bit),ジャンル,価格,ジョブカテゴリ,カウント,ハード・メモリ,👥クリエイターズ👨‍💼👨‍💻🎨,👨‍💼ディレクター,👨‍💻プログラマー,🎨デザイナー/美術,🎵音楽,📝シナリオ,💼プロデューサー,
1990-09-28,ナムコ,ファイナルブラスター,-,3,SHT,"￥6,800","￥7,000代",0,1,,,黒須一雄,佐藤誠市|横山茂|澤野和則|小野浩,大野木宜幸,,,
1990-10-12,サンソフト,BATMAN,-,4,ACT,"￥6,500","￥6,500代",0,1,,,,,,,,
1990-10-12,トンキンハウス,サイバーナイト,30,4,RPG,"￥6,800","￥7,000代",0,1,,みんみん宮田,POCHI NAKAMORI,水野良|グループSNE|大河原邦男,迫田敏明|宮本昌知|塚本雅信|ATARASHI|DAVID|竹内啓史,山本弘|グループSNE,浦井郁郎,
1990-10-19,ビデオシステム,ラビオレプススペシャル,-,3,SHT,"￥6,800","￥7,000代",0,1,,,本田忠嗣,中村晋介,石田安俊|奥田健司,,,
1990-10-26,フェイス,琉球,-,2,PZL,"￥5,400","￥5,500代",0,1,,,,,,,,
1990-11-02,ハドソン,エアロブラスターズ(Vol.33),30,4,SHT,"￥6,500","￥6,500代",0,1,,,,,,,,
1990-11-09,トンキンハウス,カットビ宅配くん,-,4,SPT,"￥6,780","￥7,000代",0,1,,,,,,,,
1990-11-23,メサイヤ,キックボール,-,3,SPT,"￥6,200","￥6,000代",0,1,,,,,,,,
1990-12-07,NECアベニュー,サンダーブレード,-,4,SHT,"￥7,200","￥7,000代",0,1,,,,,並木晃一,,,
1990-12-07,ナグザット,バーニングエンジェル,-,3,SHT,"￥6,700","￥6,500代",0,1,,,,,,,,
1990-12-07,ハドソン,ボンバーマン(Vol.34),-,2,ACT,"￥5,300","￥5,500代",0,1,,,,,,,,
1990-12-11,ナムコ,メルヘンメイズ,-,2,ACT,"￥5,500","￥5,500代",0,1,,,山口雅司,中村伸武|竹矢吉孝|竹矢吉孝|MY|POP,川瀬知香,,,
1990-12-14,パックインビデオ,ZIPANG,-,2,PZL,"￥6,200","￥6,000代",0,1,,,,,浦山秀彦|熊谷陽子,林海象|栗田教行,,
1990-12-14,メディアリング,スピンペア,-,2,PZL,"￥5,900","￥6,000代",0,1,,,,,,,,
1990-12-14,タイトー,チャンピオンレスラー,-,3,SPT,"￥6,600","￥6,500代",0,1,,村田武司,村田武司|TSUI KATO|CREAMY TETSU|堀本隆久,海道賢仁|前川浩之|海道賢仁|いしのみのり|藤田允|山田たかし|河本憲孝|はざまけんじ|川岸誠治|伏屋一勝|もりもとみなこ,大縫一行|きたむらひでひと,,,
1990-12-14,ビクター音楽産業,トイショップボーイズ,-,2,SHT,"￥6,200","￥6,000代",0,1,,,,,,,,
1990-12-14,I.G.S.,バイオレントソルジャー,-,3,SHT,"￥6,400","￥6,500代",0,1,,,,,,,,
1990-12-14,メサイヤ,ワラビー!!,-,3,SPT,"￥6,500","￥6,500代",0,1,,,,,,,,
1990-12-14,NECアベニュー,大旋風,-,4,SHT,"￥7,200","￥7,000代",0,1,,,,,太田理,,,
