発売日,メーカー,タイトル,バックアップメモリ,容量(bit),ジャンル,価格,ジョブカテゴリ,カウント,👥クリエイターズ👨‍💼👨‍💻🎨,👨‍💼ディレクター,👨‍💻プログラマー,🎨デザイナー/美術,🎵音楽,📝シナリオ,💼プロデューサー,
2005-04-28,エム・ティー・オー,お茶犬の夢冒険,0,3,ACT,"￥4,410","￥4,500代",0,,,,,,,,
2005-04-28,イマジニア,リラックマなまいにち,0,2,ACT,"￥5,040","￥5,000代",0,,,,,,,,
2005-05-03,カルチャーブレーン,昆虫モンスター・バトルスタジアム,0,3,SLG,"￥5,040","￥5,000代",0,,,,,,,,
2005-05-03,カルチャーブレーン,昆虫モンスター・バトルマスター,0,3,SLG,"￥5,040","￥5,000代",0,,,,,,,,
2005-05-19,バンダイ,ファンタジックチルドレン,0,3,ADV,"￥5,040","￥5,000代",0,,,,なかむらたかし,上野耕路,なかむらたかし(原案),,
2005-05-19,任天堂,ぶらぶらドンキー,0,3,ACT,"￥3,800","￥4,000代",0,,,,,,,,
2005-06-16,任天堂,のののパズルちゃいリアン,0,3,PZL,"￥3,800","￥4,000代",0,,,,,,,,
2005-06-23,マーベラスインタラクティブ,魔法先生ネギま！プライベートレッスンだめですぅ♥図書館島,0,4,RPG,?,?,0,,,,,,,,
2005-06-30,コナミ,メルヘヴン～KNOCKIN'ONHEAVEN'SDOOR～,0,4,RPG,"￥5,040","￥5,000代",0,,,,小丸敏之|蝦名康哲(第1話 - 第51話)|→今野幸一(第52話 - 第102話)(ÄRMデザイン),池田大介,安西信行,,
2005-06-30,セガ,甲虫王者ムシキング～グレイテストチャンピオンへの道～,0,5,RPG,"￥5,040","￥5,000代",64,,,,,,,,
2005-06-30,ハドソン,桃太郎電鉄G～ゴールド・デッキを作れ！,0,4,TBL,"￥5,040","￥5,000代",0,,さくまあきら(ゲーム監督),,柴尾英令(ゲーム演出)|土居孝幸,関口和之|池毅|宮路一昭,,,
2005-07-07,トミー,エレメンタルジェレイド～封印されし謳～,0,3,ADV,"￥5,040","￥5,000代",0,,,,堀たえ子|桝田浩史,梶浦由記,東まゆみ,,
2005-07-07,カルチャーブレーン,おしゃれプリンセス5,0,3,TBL,"￥5,040","￥5,000代",0,,,,,,,,
2005-07-07,アイドス,レゴスター・ウォーズ,0,4,ACT,"￥5,040","￥5,000代",0,,,,,,,,
2005-07-21,セガ,BLEACHアドバンス紅に染まる尸魂界,0,5,ACT,"￥5,040","￥5,000代",0,,,,,,,,
2005-07-21,ディースリー・パブリッシャー,キム・ポッシブル,0,3,ACT,"￥5,040","￥5,000代",0,,,,スティーブン・シルバー,アダム・ベリー,ボブ・スクーリー|マーク・マッコール,,
2005-07-21,ディースリー・パブリッシャー,リロアンドスティッチ,0,3,ACT,"￥5,040","￥5,000代",0,,,,,アラン・シルヴェストリ,クリス・サンダース|ディーン・デュボア,,
2005-07-21,バンダイ,機動劇団はろ一座ハロのぷよぷよ,0,3,ACT,"￥5,040","￥5,000代",0,,,,,,,,
2005-07-28,バンダイ,ふたりはプリキュアマックスハートマジ？マジ？！ファイトdeINじゃない,0,3,ACT,"￥5,040","￥5,000代",0,,,,,,,,
2005-07-28,ビベンディ ユニバーサル ゲームズ,ロボッツ,0,0,ADV,"￥4,515","￥4,500代",0,,,,,ジョン・パウエル,ローウェル・ガンツ|ババルー・マンデル|デヴィッド・リンゼイ=アベアー,,
2005-07-28,バンプレスト,金色のガッシュベル！！THECARDBATTLEforGBA,0,4,CARD,"￥5,040","￥5,000代",0,,,,,,,,
2005-07-28,コナミ,新・ボクらの太陽～逆襲のサバタ～,0,4,RPG,"￥5,229","￥5,000代",0,,,,,,,,
2005-08-04,アトラス,B-伝説！バトルビーダマン～炎魂(ファイヤースピリッツ)～,0,0,ACT,"￥5,040","￥5,000代",0,,,,,,,,
2005-08-11,カルチャーブレーン,プロ麻雀「兵」GBA,0,2,TBL,?,?,0,,,,,,,,
2005-08-11,バンダイ,マダガスカル,0,0,ADV,"￥5,040","￥5,000代",0,,,,,,,,
2005-08-11,カルチャーブレーン,昆虫の森の大冒険～ふしぎな世界の住人達～,0,0,ACT,"￥5,040","￥5,000代",0,,,,,,,,
2005-08-25,アトラス,くにおくん熱血コレクション1,0,0,ACT,"￥5,040","￥5,000代",0,,,,,,,,
2005-09-08,ディースリー・パブリッシャー,ティム・バートンナイトメア・ビフォア・クリスマスパンプキン・キング,0,0,ADV,"￥5,040","￥5,000代",0,,,,,,,,
2005-09-08,コナミ,わがまま☆フェアリーミルモでポン！どきどきメモリアルパニック,0,0,ADV,"￥5,040","￥5,000代",0,,,,音地正行(第1・2・3期)|小沼克介(全期),ヒトヨシノビタ(第1・2期)|根岸貴幸(第3・4期),篠塚ひろむ 『ミルモでポン!』,,
2005-09-13,任天堂,Dr.MARIO＆パネルでポン,0,0,PZL,"￥2,000","￥2,000代",0,,,,,,,,
2005-09-13,任天堂,マリオテニスアドバンス,0,0,SPT,"￥3,800","￥4,000代",0,,,,,,,,
2005-09-15,バンプレスト,スーパーロボット大戦J,0,0,RPG,"￥6,090","￥6,000代",0,,,,,,,,
2005-09-22,任天堂,スクリューブレイカー轟振どりるれろ,0,0,ACT,"￥3,800","￥4,000代",0,,,,杉森建,一之瀬剛,とみさわ昭仁,,
2005-10-06,セガ,ガンスタースーパーヒーローズ,0,0,SHT,"￥5,040","￥5,000代",0,,,八井田満|菅波秀幸,菊池哲彦|井内洋,半沢紀夫,,,
2005-10-13,任天堂,通勤ヒトフデ,0,0,PZL,"￥2,800","￥3,000代",0,,,,,,,,
2005-10-13,コナミ,遊☆戯☆王デュエルモンスターズGX～めざせデュエルキング！～,0,0,CARD,"￥5,229","￥5,000代",0,,,,,,,,
2005-10-27,マーベラスインタラクティブ,FRONTIERSTORIES‐フロンティアストーリーズ,0,0,RPG,"￥5,040","￥5,000代",0,,,,,,,,
2005-10-27,アトラス,くにおくん熱血コレクション2,0,0,ACT,?,?,0,,,,,,,,
2005-11-03,アトラス,みらくる！ぱんぞう7つの星の宇宙海賊,0,0,ACT,?,?,0,,,,,,,,
2005-11-17,任天堂,ポケモン不思議のダンジョン赤の救助隊,0,0,RPG,"￥4,800","￥5,000代",72,,,,,,,,
2005-11-23,カプコン,ロックマンエグゼ6電脳獣グレイガ,0,0,RPG,"￥5,040","￥5,000代",0,,,,,,,,
2005-11-23,カプコン,ロックマンエグゼ6電脳獣ファルザー,0,0,RPG,"￥5,040","￥5,000代",0,,,,,,,,
2005-11-24,バンプレスト,金色のガッシュベル！！友情の電撃ドリームタッグトーナメント,0,0,ACT,"￥5,040","￥5,000代",0,,,,,,,,
2005-12-01,ロケットカンパニー,シナモンふわふわ大作戦,0,0,ACT,"￥5,040","￥5,000代",0,,,,,,,,
2005-12-01,任天堂,スーパードンキーコング3,0,0,ACT,"￥3,800","￥4,000代",0,,,マーク・ウィルソン,アンドリュー・コラード|ポール・ウェイバー|マーク・スティーヴンソン,イーブリン・フィッシャー|デビッド・ワイズ,,アンドリュー・コラード,
2005-12-08,バンプレスト,サモンナイトクラフトソード物語はじまりの石,0,0,RPG,"￥5,040","￥5,000代",0,,,,,,,,
2005-12-08,バンダイ,シュガシュガルーンハートがいっぱい萌黄学園,0,0,ADV,"￥5,040","￥5,000代",0,,,,,,,,
2005-12-09,カルチャーブレーン,超人ウルトラベースボールGBA,0,0,SPT,?,?,0,,,,,,,,
2005-12-15,スクウェア・エニックス,FINALFANTASYIVADVANCE,0,0,RPG,"￥5,040","￥5,000代",0,,,,,,,,
2005-12-15,ディースリー・パブリッシャー,チキン・リトル,0,0,ACT,?,?,0,,,,,,スティーヴ・ベンチック|ロン・J・フリードマン|ロン・アンダーソン,,
2005-12-22,ディースリー・パブリッシャー,HiHi！PuffyAmiYumi史上最大のワールドツアー！,0,0,ACT,?,?,0,,,,,,,,
2005-12-22,コナミ,アニマル横町～どき☆どき救出大作戦！の巻～,0,0,ADV,"￥5,229","￥5,000代",0,,,,,,,,
2005-12-22,エム・ティー・オー,お茶犬の冒険島～ほんわか夢のアイランド～,0,0,ACT,"￥4,410","￥4,500代",0,,,,,,,,
2005-12-22,ハドソン,ハドソンベストコレクションVol.1ボンバーマンコレクション,0,0,ACT,"￥2,940","￥3,000代",0,,,,,,,,
2005-12-22,ハドソン,ハドソンベストコレクションVol.2ロードランナーコレクション,0,0,PZL,"￥2,940","￥3,000代",0,,,,,,,,
2005-12-22,ハドソン,ハドソンベストコレクションVol.3アクションコレクション,0,0,ACT,"￥2,940","￥3,000代",0,,,,,,,,
