年月,都道府県,未使用1,未使用2,未使用3,店舗タイプ,未使用4,ジョブカテゴリ,カウント
2014-07-01,京都府,-,-,-,総合,-,0,49
2014-07-01,大阪府,-,-,-,総合,-,0,175
2014-07-01,兵庫県,-,-,-,総合,-,0,80
2014-07-01,奈良県,-,-,-,総合,-,0,26
2014-07-01,和歌山県,-,-,-,総合,-,0,10
2014-07-01,鳥取県,-,-,-,総合,-,0,8
2014-07-01,島根県,-,-,-,総合,-,0,12
2014-07-01,岡山県,-,-,-,総合,-,0,26
2014-07-01,広島県,-,-,-,総合,-,0,40
2014-07-01,山口県,-,-,-,総合,-,0,27
2014-07-01,徳島県,-,-,-,総合,-,0,5
2014-07-01,香川県,-,-,-,総合,-,0,12
2014-07-01,愛媛県,-,-,-,総合,-,0,13
2014-07-01,高知県,-,-,-,総合,-,0,7
2014-07-01,福岡県,-,-,-,総合,-,0,90
