発売日,メーカー,タイトル,ハード,容量(bit),ジャンル,価格,ジョブカテゴリ,カウント,⭐クロスレビュー(評価),👥クリエイターズ👨‍💼👨‍💻🎨,👨‍💼ディレクター,👨‍💻プログラマー,🎨デザイナー/美術,🎵音楽,📝シナリオ,💼プロデューサー,
1987-11-01,任天堂,マイクタイソンパンチアウト,FC,1M,SPT,"￥5,500","￥5,500代",0,30,,,,宮本茂,,,竹田玄洋,
1987-11-06,ナムコ,ルパン三世パンドラの遺産,FC,1M,ACT,"￥3,900","￥4,000代",0,-,,,宇田川治久|はなおかくみ,,,,,
1987-11-06,ジャレコ,宇宙船コスモキャリア,FC,1M,SLG,"￥4,900","￥5,000代",0,-,,,,,,,,
1987-11-13,日本物産,アルテリオス,FC,1M,RPG,"￥5,500","￥5,500代",0,-,,,,,,,,
1987-11-16,ハドソン,ファザナドゥ,FC,2M,RPG,"￥5,900","￥6,000代",0,-,,,奥野仁|小山俊典,岡本敏郎,作曲:竹間ジュン|プログラミング:滝本利昭,,,
1987-11-27,バンダイ,ファミリートレーナーシリーズ7ファミトレ大運動会,FC,256K,SPT,"￥4,900","￥5,000代",0,-,,,,,,,,
1987-11-27,ナムコ,時空勇伝デビアス,FC,1M,RPG,"￥4,900","￥5,000代",0,-,,,,,,,,
1987-12-04,ビクター音楽産業,アウトランダーズ,FC,1M,RPG,"￥5,300","￥5,500代",0,-,,,,浜崎博嗣,,真鍋譲治,,
1987-12-04,ナムコ,スターウォーズ(ナムコ製),FC,1M,ACT,"￥4,900","￥5,000代",0,30,,,岸本好弘,WAN WAN|SHIMADA,川田宏行,,中村雅哉,
1987-12-04,コナミ,ドラゴンスクロール蘇りし魔竜,FC,1M,RPG,"￥5,300","￥5,500代",0,-,,,,,,,,
1987-12-04,パックインビデオ,ランボー,FC,1M,ACT,"￥5,300","￥5,500代",0,-,,,,,ジェリー・ゴールドスミス,ディヴィッド・マレル|『一人だけの軍隊』,,
1987-12-07,スクウェア,JJ(ジェイジェイ),FC,1M,SHT,"￥4,500","￥4,500代",0,-,,,,,,,,
1987-12-09,データイースト,ゴルフ倶楽部バーディラッシュ,FC,1M,SPT,"￥5,500","￥5,500代",0,-,,,,,,,,
1987-12-11,コナミ,トップガン,FC,1M,SHT,"￥5,300","￥5,500代",0,-,,,,,,,,
1987-12-11,ナムコ,ファミリーテニス,FC,512K,SPT,"￥3,900","￥4,000代",0,-,,,弓達公雄,永島洋武,小沢純子,,中村雅哉,
1987-12-11,タイトー,京都龍の寺殺人事件山村美紗サスペンスシリーズ,FC,1M,ADV,"￥5,500","￥5,500代",0,-,,,,,,,,
1987-12-12,デービーソフト,鉄道王,FC,256K,ETC,"￥4,900","￥5,000代",0,34,,,,,,,,
1987-12-15,任天堂,銀河の三人,FC,1M,RPG,"￥5,000","￥5,000代",0,-,,,,,,,,
1987-12-16,コナミ,エキサイティングボクシング,FC,1M,ACT,"￥7,980","￥8,000代",0,-,,,,,,,,
1987-12-17,カプコン,ロックマン,FC,1M,ACT,"￥5,300","￥5,500代",120,-,,,,,,,,
1987-12-18,ナムコ,カルノフ,FC,1M,ACT,"￥4,900","￥5,000代",0,-,,,,,,,,
1987-12-18,ケイアミューズメントリース,スティックハンター,FC,1M,SPT,"￥5,500","￥5,500代",0,-,,,,,,,,
1987-12-18,タイトー,タイトーグランプリ栄光へのライセンス,FC,1M,RCG,"￥5,500","￥5,500代",0,-,,,,,,,,
1987-12-18,スクウェア,ファイナルファンタジー,FC,2M,RPG,"￥5,900","￥6,000代",0,34,,坂口博信,ナーシャ・ジベリ,田中弘道|河津秋敏|天野喜孝,植松伸夫,寺田憲史|河津秋敏,宮本雅史,
1987-12-18,ココナッツジャパン,目指せパチプロパチ夫くん,FC,1M,TBL,"￥5,500","￥5,500代",0,31,,,,,,,,
1987-12-22,アスキー,ウィザードリィ,FC,1M,RPG,"￥5,800","￥6,000代",0,33,,,,,,,,
1987-12-22,バンダイ,ゲゲゲの鬼太郎2妖怪軍団の挑戦,FC,1M,RPG,"￥5,500","￥5,500代",0,-,,,,,,,,
1987-12-22,ナムコ,プロ野球ファミリースタジアム87年度版,FC,512K,SPT,"￥3,900","￥4,000代",130,-,,,,,,,,
1987-12-22,コナミ,メタルギア,FC,1M,ACT,"￥5,300","￥5,500代",0,-,,,福井博幸|大塚友則,小島秀夫|たばたまさみ|ふじもとあずさ,水谷郁|たけのうちしげひろ|古川元亮,,,
1987-12-25,東芝ＥＭＩ,マグナム危機一髪エンパイアシティー1931,FC,1M,SHT,"￥5,300","￥5,500代",0,-,,,,,,,,
1987-12-26,ポニーキャニオン,アタックアニマル学園,FC,1M,SHT,"￥5,500","￥5,500代",0,-,,はっとりやすお,TSUHKAI SQUASH YAROH,にしたにあや|ふじもりあつし,はっとりやすお,,,
1987-12-26,ケムコ,スーパーマン,FC,1M,ACT,"￥5,500","￥5,500代",0,-,,,,,,,,
1987-12-28,バンダイ,ファミリートレーナーシリーズ8突撃！風雲たけし城,FC,256K,SPT,"￥4,900","￥5,000代",0,-,,,,,,,,
1988-01-06,ナムコ,ファミリーサーキット,FC,1M,RCG,"￥3,900","￥4,000代",0,32,,,遠藤雅伸|もろぼしはずれ,遠藤雅伸,大野木宜幸,,今成一雄,
1988-01-07,HAL研究所,ソフトハウス連続殺人事件殺意の階層,FC,2M,ADV,"￥5,900","￥6,000代",0,-,,,,,,,,
1988-01-14,コナミ,コナミワイワイワールド,FC,1M,ACT,"￥5,500","￥5,500代",0,30,,,青山和浩|徳田典|小川光章,月仲本|日下進,坂元信也|松尾重政|藤尾敦,,,
1988-01-22,東映動画,スケバン刑事Ⅲ,FC,1M,ACT,"￥5,300","￥5,500代",0,-,,,,,新田一郎,土屋斗紀雄|橋本以蔵|我妻正義|武上純希|神戸一彦,石原隆|中曽根千治|手塚治,
1988-01-23,サンソフト,リップルアイランド,FC,1M,ADV,"￥4,900","￥5,000代",0,-,,,酒井敦史|東谷浩明,KIRITAN|もりけん|HIDECHAN|CHAPPY,小高直樹|RYU,,,
1988-01-29,データイースト,ドナルドランド,FC,1M,ACT,"￥5,500","￥5,500代",0,-,,中本博通,石井誠一|GUMON|R.IJYUIN,棈松和哉|TAKAYUKI.M|T.NAGAOKA|かんだあきら|MOTOKO.N,S.KAMIZONO|三浦孝史|酒井省吾,,兼安時紀,
1988-02-01,HAL研究所,ジャンボ尾崎のホールインワンプロフェッシュナル,FC,1M,SPT,"￥5,600","￥5,500代",0,-,,,,,,,,
1988-02-01,CBSソニー,パリダカールラリースペシャル,FC,1M,RCG,"￥5,300","￥5,500代",0,-,,,,,,,,
1988-02-03,バンダイ,仮面ライダー倶楽部,FC,1M,ACT,"￥5,500","￥5,500代",0,-,,,,,,,,
1988-02-05,アイレム,ガーディック外伝,FC,1M,SHT,"￥5,500","￥5,500代",0,30,,仁井谷正充,広野隆行,寺本耕二|頼近直純|加藤直之,宮本昌知|山藤武志,,,
1988-02-09,コナミ,魂斗羅(コントラ),FC,1M,ACT,"￥5,300","￥5,500代",0,-,,,,,,,大瀧詠一,
1988-02-10,エニックス,ドラゴンクエストⅢそして伝説へ…,FC,2M,RPG,"￥5,900","￥6,000代",380,38,,中村光一,内藤寬,鳥山明,すぎやまこういち,堀井雄二,千田幸信,
1988-02-18,バンダイ,カラオケスタジオ専用カセットトップヒット20Vol.2,FC,2M,ETC,"￥3,980","￥4,000代",0,-,,,,,,,,
1988-02-18,イマジニア,松本亨の株式必勝学,FC,2M,SLG,"￥9,800","￥10,000代",0,30,,,,山科けいすけ,,松本亨,,
1988-02-26,データイースト,探偵神宮寺三郎横浜港連続殺人事件,FC,1M,ADV,"￥5,500","￥5,500代",0,-,,佐原稔英,梅木元博|今井敏彦,寺田克也,中神紀之|K.SUZUKI|宮田やすお,RABBIT HOUSE GROUP4,,
1988-02-26,コナミ,鉄腕アトム,FC,1M,ACT,"￥5,500","￥5,500代",0,-,,,,,,,,
1988-03-04,ポニーキャニオン,ボールブレイザー(ルーカスフィルムゲーム),FC,1M,ACT,"￥5,500","￥5,500代",0,-,,,,,,,,
1988-03-08,タイトー,アルカノイドⅡ,FC,512K,ETC,"￥5,900","￥6,000代",0,-,,,,,,,,
1988-03-10,パックインビデオ,シュワルツネッガーのプレデター,FC,1M,ACT,"￥5,500","￥5,500代",0,-,,,,,,,,
1988-03-17,ビクター音楽産業,釣りキチ三平ブルーマーリン編,FC,1M,ETC,"￥5,500","￥5,500代",0,-,,,,,,,,
1988-03-17,ナムコ,ローリングサンダー,FC,1M,ACT,"￥5,500","￥5,500代",0,-,,,,,,,,
1988-03-18,アイレム,ナポレオン戦記,FC,1M,SLG,"￥5,500","￥5,500代",0,-,,,,,,,,
1988-03-18,光栄,信長の野望全国版,FC,2M,SLG,"￥9,800","￥10,000代",0,-,,,,,菅野よう子,,シブサワ・コウ,
1988-03-18,ポニーキャニオン,谷川浩司の将棋指南Ⅱ名人への道,FC,1M,TBL,"￥5,500","￥5,500代",0,-,,,,,,,,
1988-03-24,SNK,ファイティングゴルフ,FC,1M,SPT,"￥5,500","￥5,500代",0,-,,,,,,,,
1988-03-26,ビック東海,ゴルゴ13第一章神々の黄昏,FC,1M,ACT,"￥5,700","￥5,500代",0,-,,ANGELA,八木としやす,吉川昇一|吉川昇一|佐藤博幸,蓮谷通治,倉本奈緒,さいとう・たかを,
1988-03-28,イマジニア,愛の伝説オリュンポスの戦い,FC,1M,RPG,"￥5,300","￥5,500代",0,-,,,,,,,,
1988-03-28,ホットビィ,武田信玄,FC,1M,SLG,"￥5,800","￥6,000代",0,-,,,,,,,,
1988-03-29,アスキー,フリートコマンダー,FC,256K,SLG,"￥5,500","￥5,500代",0,-,,,,,,,,
1988-03-29,タイトー,不動明王伝,FC,2M,ACT,"￥5,900","￥6,000代",0,-,,,,,,,,
1988-03-30,データイースト,ビーバップハイスクール高校生極楽伝説,FC,1M,ADV,"￥5,800","￥6,000代",0,-,,,,,,,,
1988-04-05,ナムコ,独眼竜政宗,FC,1M,SLG,"￥5,500","￥5,500代",0,-,,,,,,,,
1988-04-08,東宝,ジーキル博士の彷魔が刻,FC,1M,ACT,"￥5,300","￥5,500代",0,-,,,,,蓮谷通治,,,
1988-04-08,テクノスジャパン,双截龍(ダブルドラゴン),FC,1M,ACT,"￥5,800","￥6,000代",0,31,,,,,,,,
1988-04-15,ジャレコ,燃えろ！！プロテニス,FC,1M,SPT,"￥5,500","￥5,500代",0,-,,,,樋上いたる|門之園恵美|池田和美,折戸伸治|戸越まごめ|麻枝准,志茂文彦,馬場隆博,
1988-04-16,ケイアミューズメントリース,怒ⅡDOGOSOKEN,FC,2M,ACT,"￥5,500","￥5,500代",0,-,,,,,,,,
1988-04-28,トンキンハウス,エリュシオン,FC,1M,RPG,"￥5,500","￥5,500代",0,-,,,,,,,,
1988-04-28,テクモ,キャプテン翼,FC,1M,SPT,"￥5,500","￥5,500代",0,32,,,,,,高橋陽一,,
1988-04-28,ケムコ,砂漠の狐戦車戦略,FC,1M,SLG,"￥5,500","￥5,500代",0,-,,,,,,,,
1988-05-01,トーワチキ,名探偵ホームズ霧のロンドン殺人事件,FC,2M,ADV,"￥6,000","￥6,000代",0,-,,,,,,,,
1988-05-13,スクウェア,ディープダンジョンⅢ勇士への旅,FC,2M,RPG,"￥5,900","￥6,000代",0,-,,,,,,,,
1988-05-20,東映動画,仮面の忍者赤影,FC,1M,ACT,"￥5,300","￥5,500代",0,-,,石崎すすむ,,金山明博,知久光康,菅良幸|井上敏樹|照井啓司|渡辺麻実,,
1988-05-27,ヘクト,将軍(SHOGUN),FC,1M,SLG,"￥5,800","￥6,000代",0,-,,,,,モーリス・ジャール,エリック・バーコビッチ,エリック・バーコビッチ|ベン・チャップマン|ジェームズ・クラベル|ケリー・フェルザーン,
1988-05-27,ハドソン,サラダの国のトマト姫,FC,1M,ADV,"￥5,900","￥6,000代",0,-,,,,,,,,
1988-05-27,ナムコ,ナムコクラシック,FC,2M,SPT,"￥5,900","￥6,000代",0,30,,,,,,,,
1988-05-27,ユーピーエル,忍者くん阿修羅の章,FC,1M,ACT,"￥5,300","￥5,500代",0,-,,,西澤龍一|藤沢勉,西澤龍一|藤沢勉,,,,
1988-05-30,バンダイ,聖闘士星矢黄金伝説完結編,FC,1M,RPG,"￥5,800","￥6,000代",0,-,,,,,,,,
1988-06-03,日本物産,コスモポリスギャリバン,FC,1M,ACT,"￥5,900","￥6,000代",0,-,,藤原茂樹,つちいえとしお,藤原茂樹|なかがわきょうこ,吉田健志,,,
1988-06-17,サンソフト,超惑星戦記メタファイト,FC,1M,SHT,"￥5,300","￥5,500代",0,32,,東谷浩明|北角浩一,さだけんじ|かじたけんじ,さだけんじ|岩田義明|駕屋ひろゆき|リチャード・ロビンス,小高直樹,,,
1988-06-20,カプコン,1943,FC,1M,SHT,"￥5,300","￥5,500代",0,-,,,,,,,,
1988-06-24,ケムコ,真田十勇士,FC,1M,RPG,"￥5,600","￥5,500代",0,30,,,,,,,,
1988-06-24,ナムコ,妖怪道中記,FC,1M,ACT,"￥4,900","￥5,000代",0,30,,,デビル中村,水野一実|ナナチャン大石|木元昌洋|小森谷勇一郎|サラバジャ南|ホルスタイン安斎|カータン榊原,川田宏行,,,
1988-06-28,タイトー,究極ハリキリスタジアム,FC,1M,SPT,"￥5,500","￥5,500代",0,-,,,,,,,,
1988-07-14,BPS,スーパーブラックオニキス,FC,2M,RPG,"￥5,900","￥6,000代",0,-,,,ボブ・ラザフォード|小林孝志|リチャード・チャールズ・ロジャース|坂本隆志,ヘンク・ブラウアー・ロジャース|ハンス・ヤンセン,,松方哲也,,
1988-07-15,コナミ,じゃりん子チエばくだん娘のし幸せさがし,FC,1M,ADV,"￥5,800","￥6,000代",0,-,,,,,,,,
1988-07-15,アスキー,ベストプレープロ野球,FC,1M,SLG,"￥5,800","￥6,000代",0,30,,,,,,,,
1988-07-15,ジャレコ,伝説の騎士エルロンド,FC,1M,ACT,"￥5,500","￥5,500代",0,-,,,,,デビッド・ワイズ,,,
1988-07-20,カプコン,ヒットラーの復活トップシークレット,FC,2M,ACT,"￥5,900","￥6,000代",0,-,,,,,,,,
1988-07-21,ボーステック,めぞん一刻,FC,2M,ADV,"￥5,900","￥6,000代",0,-,,,,,周防義和,岡田惠和,,
1988-07-22,ナムコ,カイの冒険,FC,1M,ACT,"￥3,900","￥4,000代",0,-,,遠藤雅伸,内藤智,遠藤雅伸|篠崎雄一郎|ときた洸一,小沢純子,遠藤雅伸,,
1988-07-22,ビック東海,カケフくんのジャンプ天国スピード地獄,FC,1M,ACT,"￥5,300","￥5,500代",0,-,,はせがわとしひさ,BIG HIT MACHIYA|河村知彦,はせがわとしひさ,蓮谷道治,,藤原明|曽我栄蔵,
1988-07-26,タイトー,レインボーアイランド,FC,1M,ACT,"￥5,500","￥5,500代",0,-,,,藤末一郎|みきこうじ|おくのこうじ,三辻富貴朗|三辻富貴朗|讃岐平,相澤静夫|小倉久佳,三辻富貴朗,,
1988-07-26,テクノスジャパン,熱血高校ドッジボール部,FC,1M,SPT,"￥5,800","￥6,000代",0,31,,,,,,,,
1988-07-29,SNK,グレートタンク,FC,1M,SHT,"￥5,500","￥5,500代",0,-,,,かねだゆきお,なかいとしゆき|小畑浩二|藤原秀樹|かわさきいさむ|かまだおさむ|さとうじゅんこ,ゆあさまさかず|田中敬一|西田和弘,,川崎英吉,
1988-07-29,ナムコ,三国志中原の覇者,FC,1M,SLG,"￥6,900","￥7,000代",0,-,,,,,,,,
1988-07-29,カルチャーブレーン,飛龍の拳Ⅱドラゴンの翼,FC,1M,ACT,"￥5,500","￥5,500代",0,-,,,,,,,,
1988-07-30,バップ,スーパーリアルベースボール'88,FC,1M,SPT,"￥5,500","￥5,500代",0,-,,,,,,,,
1988-08-03,東京書籍,太陽の神殿アステカⅡ,FC,2M,ADV,"￥5,900","￥6,000代",0,-,,加藤正幸,橋本昌哉,山根ともお|横山宏,阿部隆人,宮本恒之,,
1988-08-09,HAL研究所,エッガーランド迷宮の復活,FC,1M,PZL,"￥5,600","￥5,500代",0,-,,,,,,,,
1988-08-10,ソフエル,ザ・マネーゲーム,FC,1M,SLG,"￥5,900","￥6,000代",0,-,,,篠原正義|高橋範道|杉坂浩一|ドラゴン高橋|土津完保|山本忠行,山口裕司|山㟁栄一,大藤由美子(日本版)|村井俊夫(北米版),松沢博,,
1988-08-10,バンダイ,闘将！！拉麺男炸裂超人一○二芸,FC,1M,ADV,"￥5,800","￥6,000代",0,-,,明比正行,,山口泰弘,奥慶一,ゆでたまご,,
1988-08-10,ジャレコ,燃えろ！！プロ野球'88決定版,FC,2M,SPT,"￥5,800","￥6,000代",0,-,,,,,,,,
1988-08-11,サンソフト,水戸黄門Ⅱ世界漫遊記,FC,1M,ADV,"￥5,500","￥5,500代",0,-,,,,,,,,
1988-08-12,データイースト,サッカーリーグウィナーズカップ,FC,1M,SPT,"￥5,800","￥6,000代",0,-,,,,,,,,
1988-08-12,バンダイ,ドラゴンボール大魔王復活,FC,1M,RPG,"￥5,800","￥6,000代",0,-,,荻野目洋,しみずかずや,あきこ|ゆうこ|かつら|やすえ,安達春樹|ペルー,,,
1988-08-12,ナムコ,ファイナルラップ,FC,1M,RCG,"￥5,200","￥5,000代",0,-,,,,,細江慎治,,,
1988-08-12,任天堂,ファミコンウォーズ,FC,1M,SLG,"￥5,500","￥5,500代",0,33,,,,,,,,
1988-08-12,コナミ,マッドシティ,FC,1M,ACT,"￥5,500","￥5,500代",0,-,,,,,トーマス・ニューマン,トム・マシューズ,,
1988-08-19,アイレム,不如帰(ほととぎす),FC,2M,SLG,"￥6,500","￥6,500代",0,-,,,,,,,,
1988-08-23,ココナッツジャパン,スーパーピンボール,FC,1M,ETC,"￥5,800","￥6,000代",0,-,,,,,,,,
1988-08-26,ビクター音楽産業,イース,FC,2M,RPG,"￥6,200","￥6,000代",0,30,,,,,,,,
1988-08-26,バップ,スーパーダイナミックバトミントン,FC,256K,SPT,"￥4,900","￥5,000代",0,-,,,,,,,,
1988-08-26,ハドソン,亀の恩返し,FC,1M,SHT,"￥5,500","￥5,500代",0,-,,,,,高山博彦,,,
1988-09-02,SNK,ファミコン名人戦,FC,1M,TBL,"￥5,900","￥6,000代",0,-,,,,,,,,
1988-09-13,ジャレコ,マニアックマンション,FC,2M,ADV,"￥5,500","￥5,500代",0,-,,,ロン・ギルバート|デヴィッド・フォックス|カール・メイ,ロン・ギルバート|ゲイリー・ウィニック(英語版)|ゲイリー・ウィニック,クリス・グリッグス|デヴィッド・ローレンス,ロン・ギルバート|ゲイリー・ウィニック,,
1988-09-16,コナミ,コナミックスポーツインソウル,FC,1M,SPT,"￥5,500","￥5,500代",0,-,,,,,,,,
1988-09-16,ポニーキャニオン,霊幻道士,FC,2M,ACT,"￥5,900","￥6,000代",0,-,,,,,アンダース・ネルソン|メロディ・バンク,バリー・ウォン(黄炳耀)[注釈 1]|シートゥ・チャホン,,
