年,未使用1,税区分,未使用2,都道府県,市区町村,業種(サンプル),未使用,カウント
2008-01-01,0,1,不明,北海道,幌加内町,業種F,0,5
2008-01-01,0,2,不明,北海道,幌加内町,業種I,0,44
2008-01-01,0,0,不明,北海道,増毛町,業種B,0,76
2008-01-01,0,1,不明,北海道,増毛町,業種J,0,7
2008-01-01,0,2,不明,北海道,増毛町,業種H,0,30
2008-01-01,0,0,不明,北海道,小平町,業種G,0,80
2008-01-01,0,1,不明,北海道,小平町,業種J,0,4
2008-01-01,0,2,不明,北海道,小平町,業種D,0,33
2008-01-01,0,0,不明,北海道,苫前町,業種E,0,93
2008-01-01,0,1,不明,北海道,苫前町,業種I,0,6
2008-01-01,0,2,不明,北海道,苫前町,業種I,0,45
2008-01-01,0,0,不明,北海道,羽幌町,業種F,0,90
2008-01-01,0,1,不明,北海道,羽幌町,業種C,0,5
2008-01-01,0,2,不明,北海道,羽幌町,業種B,0,33
2008-01-01,0,0,不明,北海道,初山別村,業種H,0,78
2008-01-01,0,1,不明,北海道,初山別村,業種E,0,4
2008-01-01,0,2,不明,北海道,初山別村,業種H,0,32
2008-01-01,0,0,不明,北海道,遠別町,業種H,0,82
2008-01-01,0,1,不明,北海道,遠別町,業種J,0,4
2008-01-01,0,2,不明,北海道,遠別町,業種C,0,36
2008-01-01,0,0,不明,北海道,天塩町,業種H,0,101
2008-01-01,0,1,不明,北海道,天塩町,業種I,0,5
2008-01-01,0,2,不明,北海道,天塩町,業種F,0,40
2008-01-01,0,0,不明,北海道,猿払村,業種J,0,184
2008-01-01,0,1,不明,北海道,猿払村,業種C,0,6
2008-01-01,0,2,不明,北海道,猿払村,業種A,0,45
2008-01-01,0,0,不明,北海道,浜頓別町,業種C,0,109
2008-01-01,0,1,不明,北海道,浜頓別町,業種A,0,8
2008-01-01,0,2,不明,北海道,浜頓別町,業種E,0,44
2008-01-01,0,0,不明,北海道,中頓別町,業種E,0,82
2008-01-01,0,1,不明,北海道,中頓別町,業種D,0,5
2008-01-01,0,2,不明,北海道,中頓別町,業種C,0,33
2008-01-01,0,0,不明,北海道,枝幸町,業種B,0,105
2008-01-01,0,1,不明,北海道,枝幸町,業種G,0,5
2008-01-01,0,2,不明,北海道,枝幸町,業種I,0,39
2008-01-01,0,0,不明,北海道,豊富町,業種G,0,101
2008-01-01,0,1,不明,北海道,豊富町,業種G,0,8
2008-01-01,0,2,不明,北海道,豊富町,業種E,0,46
2008-01-01,0,0,不明,北海道,礼文町,業種E,0,96
2008-01-01,0,1,不明,北海道,礼文町,業種E,0,5
2008-01-01,0,2,不明,北海道,礼文町,業種C,0,34
2008-01-01,0,0,不明,北海道,利尻町,業種C,0,92
2008-01-01,0,1,不明,北海道,利尻町,業種H,0,4
2008-01-01,0,2,不明,北海道,利尻町,業種I,0,22
2008-01-01,0,0,不明,北海道,利尻富士町,業種C,0,100
2008-01-01,0,1,不明,北海道,利尻富士町,業種D,0,7
2008-01-01,0,2,不明,北海道,利尻富士町,業種C,0,37
2008-01-01,0,0,不明,北海道,幌延町,業種H,0,164
2008-01-01,0,1,不明,北海道,幌延町,業種B,0,10
2008-01-01,0,2,不明,北海道,幌延町,業種H,0,94
2008-01-01,0,0,不明,北海道,美幌町,業種I,0,100
2008-01-01,0,1,不明,北海道,美幌町,業種I,0,7
2008-01-01,0,2,不明,北海道,美幌町,業種J,0,41
2008-01-01,0,0,不明,北海道,津別町,業種B,0,92
2008-01-01,0,1,不明,北海道,津別町,業種F,0,4
2008-01-01,0,2,不明,北海道,津別町,業種J,0,47
2008-01-01,0,0,不明,北海道,斜里町,業種A,0,149
2008-01-01,0,1,不明,北海道,斜里町,業種A,0,12
2008-01-01,0,2,不明,北海道,斜里町,業種E,0,58
2008-01-01,0,0,不明,北海道,清里町,業種G,0,80
2008-01-01,0,1,不明,北海道,清里町,業種A,0,4
2008-01-01,0,2,不明,北海道,清里町,業種D,0,36
2008-01-01,0,0,不明,北海道,小清水町,業種F,0,88
2008-01-01,0,1,不明,北海道,小清水町,業種C,0,5
2008-01-01,0,2,不明,北海道,小清水町,業種G,0,38
2008-01-01,0,0,不明,北海道,訓子府町,業種H,0,91
2008-01-01,0,1,不明,北海道,訓子府町,業種I,0,5
2008-01-01,0,2,不明,北海道,訓子府町,業種I,0,39
2008-01-01,0,0,不明,北海道,置戸町,業種J,0,89
2008-01-01,0,1,不明,北海道,置戸町,業種A,0,4
2008-01-01,0,2,不明,北海道,置戸町,業種G,0,41
2008-01-01,0,0,不明,北海道,佐呂間町,業種J,0,109
