発売日,メーカー,タイトル,⭐クロスレビュー(評価),容量(bit),ジャンル,価格,価格帯,カウント,メモリ(S-RAM)(Kbit),👥クリエイターズ👨‍💼👨‍💻🎨,👨‍💼ディレクター,👨‍💻プログラマー,🎨デザイナー/美術,🎵音楽,📝シナリオ,💼プロデューサー,
1993-06-21,任天堂,スーパースコープ6(スーパースコープ付属カセット),-,4,SHT,"￥9,800","￥10,000代",0,0,,,,,,,,
1993-06-25,アルトロン,トムとジェリー,-,2,ACT,"￥8,900","￥9,000代",0,0,,,,,,,,
1993-06-25,コナミ,ドラゴンズマジック,-,2,ACT,"￥8,800","￥9,000代",0,0,,,マイケル・クナウアー|ヴィンス・リー,リック・ダイアー|ビクター・ペンマン|マーティ・フォールガー|ダーリーン・ウォディントン|ドン・ブルース,クリストファー・ストーン,,,
1993-06-25,システムサコム,激突弾丸自動車決戦バトルモービル,-,4,ACT,"￥8,800","￥9,000代",0,0,,,,,,,,
1993-06-25,バンダイ,マジンガーZ,-,4,ACT,"￥8,800","￥9,000代",0,0,,,,羽根章悦→森下圭介[注釈 1],渡辺宙明,永井豪とダイナミックプロ,,
1993-06-25,アトラス,GP-1,-,4,RCG,"￥8,800","￥9,000代",0,0,,,,,,,,
1993-06-25,セタ,シルヴァ・サーガⅡ,30,7,RPG,"￥9,800","￥10,000代",0,64,,,,,,,,
1993-06-25,タイトー,エストポリス伝記,-,4,RPG,"￥8,900","￥9,000代",0,64,,宮田正英,受田直之,まつもとともなり,塩生康範|ざいつあき|くろだなおみ,宮田正英,,
1993-06-25,ウルフ・チーム,三国志正史天舞スピリッツ,-,6,SLG,"￥12,800","￥13,000代",0,256,,,,,,,,
1993-06-25,ナムコ,スーパーファミリーテニス,-,4,SPT,"￥7,900","￥8,000代",0,0,,,,,,,,
1993-07-02,ケムコ,ファーストサムライ魔狂人伝説,-,2,ACT,"￥7,800","￥8,000代",0,0,,,,,,,,
1993-07-09,ユタカ,仮面ライダーSD出撃ライダーマシン,-,4,ACT,"￥8,800","￥9,000代",0,0,,,,,,,,
1993-07-09,アクレイムジャパン,エイリアン3,-,4,ACT,"￥8,800","￥9,000代",0,0,,,,,エリオット・ゴールデンサール,キャラクター創造|ダン・オバノン|ロナルド・シャセット,,
1993-07-09,BPS,ヨッシーのクッキー,-,2,PZL,"￥6,600","￥6,500代",0,0,,山本雅央|山上仁志|たかさごたつひろ|RYOJIN,ヂュー・リー|よしかわのなえ|山本雄一,日野重文|松本千恵子|いのうえみか,生田ノブヤ|佐藤亜希羅|TSUTOMU|西坂紀子,,横井軍平,
1993-07-09,アクレイムジャパン,スーパーハイインパクト,-,4,SPT,"￥8,800","￥9,000代",0,0,,,,,,,,
1993-07-11,カプコン,ストリートファイターⅡターボ,36,8,ACT,"￥9,980","￥10,000代",210,0,,,,安田朗(AKIMAN),下村陽子|阿部功,,岡本吉起,
1993-07-14,任天堂,スーパーマリオコレクション,32,7,ACT,"￥9,800","￥10,000代",212,64,,手塚卓志,中郷俊彦,日野重文|森直樹|富田聡一郎|臼井健太,近藤浩治,,宮本茂,
1993-07-14,任天堂,ヨッシーのロードハンティング,-,4,SHT,"￥6,500","￥6,500代",0,0,,岩田聡,,,西村善樹|上村みゆき|徳永康,,宮本茂,
1993-07-16,アイマックス,デスブレイド,-,6,ACT,"￥9,700","￥9,500代",0,0,,,,,,,,
