発売日,メーカー,タイトル,ハード,容量(bit),ジャンル,価格,ジョブカテゴリ,カウント,👥クリエイターズ👨‍💼👨‍💻🎨,👨‍💼ディレクター,👨‍💻プログラマー,🎨デザイナー/美術,🎵音楽,📝シナリオ,💼プロデューサー,
1998-08-07,スターフィッシュ,テュロック～バイオノザウルスの戦い～,1,4,ACT,"￥3,980","￥4,000代",0,,,ロバート・コーエン,デヴィッド・ディーンストビール|アラン・D・ジョンソン|ドン・パーリン(英語版),ダレン・ミッチェル,ジェフ・ゴメス(英語版)|ボブ・レイトン(英語版),デヴィッド・ディーンストビール,
1998-08-07,バンプレスト,超魔神英雄伝ワタルまぜっこモンスター2,1,5,SLG,"￥3,980","￥4,000代",0,,,,,,,,
1998-08-07,バンダイ,名探偵コナン疑惑の豪華列車,1,4,ADV,"￥3,980","￥4,000代",0,,,,,,,,
1998-08-09,ハドソン,ポケットファミリーGB,1,5,SLG,"￥3,980","￥4,000代",0,,,,,,,,
1998-08-28,Jウィング,昆虫博士,1,5,SLG,"￥4,800","￥5,000代",0,,,,,,,,
1998-09-11,ボトムアップ,ポケット将棋,1,4,TBL,"￥3,980","￥4,000代",0,,,,,,,,
1998-09-11,アクレイムジャパン,モータルコンバット＆モータルコンバット2,1,6,FTG,"￥3,980","￥4,000代",0,,,,,,,,
1998-09-11,Jウィング,釣り先生,1,5,RPG,"￥4,800","￥5,000代",0,,,,,,,大瀧詠一,
1998-09-12,任天堂,ポケットモンスターピカチュウ,1,6,RPG,"￥3,000","￥3,000代",316,,田尻智,太田健程|森本茂樹|渡辺哲也|増田順一,田尻智|杉森建|西田敦子|藤原基史|森本茂樹,増田順一,田尻智|たにぐち りょうすけ|野々村文宏|陣内弘之,宮本茂|川口孝司|石原恒和,
1998-09-18,ハドソン,超速スピナー,1,5,ACT,"￥4,500","￥4,500代",0,,,,,,,,
1998-09-25,エニックス,ドラゴンクエストモンスターズテリーのワンダーランド,2,7,RPG,"￥4,900","￥5,000代",235,,,,堀井雄二|鳥山明,すぎやまこういち,堀井雄二|佐々木智広,千田幸信,
1998-09-25,ボトムアップ,ポケットゴルフ,1,3,SPT,"￥3,980","￥4,000代",0,,,,,,,,
1998-10-02,コーエー,もんすたあ★レースおかわり,1,5,RPG,"￥3,980","￥4,000代",0,,,,,,,,
1998-10-15,コナミ,爆釣リトリーブマスター,1,5,RPG,"￥3,980","￥4,000代",0,,,,,,,,
1998-10-16,キングレコード,新競馬貴族ポケットジョッキー,1,5,SLG,"￥5,800","￥6,000代",0,,,,,,,,
1998-10-21,NECインターチャネル,グローカルヘキサイト,2,6,TBL,"￥3,980","￥4,000代",0,,,,,,,,
1998-10-21,任天堂,テトリスデラックス,2,5,PZL,"￥3,500","￥3,500代",0,,,,,,,,
