発売日,メーカー,タイトル,⭐クロスレビュー(評価),容量(bit),ジャンル,価格,価格帯,売り上げ本数,ハード,👥クリエイターズ,👨‍💼ディレクター,👨‍💻プログラマー,🎨デザイナー/美術,🎵音楽,📝シナリオ,💼プロデューサー,カセットカラー,ラベル,「対戦」といえば？,「ハイスコア」といえば？,「クリアできなかった」といえば？,
1987-03-03,サンソフト,メルヘンヴェール💾,-,8,ARPG,"￥3,200","￥3,000代",0,2,,佐藤浩一,堀本幸男,堀本幸男|いしいたつや|いしいみゆき,佐藤浩一,,,-,-,-,-,-,
1987-03-05,アイレム,スーパーロードランナー💾,-,8,ACT,"￥3,100","￥3,000代",0,2,,,,,,,,-,-,-,-,-,
1987-03-12,スクウェア,とびだせ大作戦💾,-,8,ACT,"￥3,400","￥3,500代",0,2,,,ナーシャ・ジベリ,坂口博信,植松伸夫,,,-,-,-,-,-,
1987-03-27,ポニーキャニオン,ウインターゲームズ💾,-,8,SPT,"￥2,900","￥3,000代",0,2,,,,,,,,-,-,-,-,-,
1987-03-27,アスキー,オトッキー💾,-,8,SHT,"￥3,500","￥3,500代",0,2,,,デジタルエンタテインメント,岩井俊雄,,,,-,-,-,-,-,
1987-03-27,サンソフト,知能ゲームシリーズ2スーパーボーイアラン💾,-,8,ETC,"￥4,900","￥5,000代",0,2,,,,,,,,-,-,-,-,-,
1987-03-27,サンソフト,知能ゲームシリーズ3地底大陸オルドーラ💾,-,8,ETC,"￥4,900","￥5,000代",0,2,,,,,,,,-,-,-,-,-,
1987-03-28,バンダイ,ダーティペアプロジェクトエデン💾,-,8,ACT,"￥3,300","￥3,500代",0,2,,,,,,,,-,-,-,-,-,
1987-04-03,スクウェア,アップルタウン物語littlecomputerpeople💾,-,8,SLG,"￥3,400","￥3,500代",0,2,,,,,,,,-,-,-,-,-,
1987-04-10,コナミ,グリーンベレー💾,-,8,SHT,"￥2,980","￥3,000代",0,2,,,,,,,,-,-,-,-,-,
1987-04-10,ソフエル,ココナワールド💾,-,8,ACT,"￥2,980","￥3,000代",0,2,,ほりまさと,H.KUMATANI|もとむらいえのり|たけちまさみつ,なかがわおさむ,どいこうじ|Y.TSUJI|村井俊夫,K.INAMI,ひさとみけんじ,-,-,-,-,-,
1987-04-10,ボースティック,レリクス暗黒要塞💾,-,8,ACT,"￥4,200","￥4,000代",0,2,,,,,,,,-,-,-,-,-,
1987-04-15,ジャレコ,風雲少林拳💾,-,8,ACT,"￥3,200","￥3,000代",0,2,,,,,,,,-,-,-,-,-,
1987-04-24,コナミ,愛戦士ニコル💾,-,8,ARPG,"￥2,980","￥3,000代",0,2,,,,,コナミ矩形波倶楽部,,,-,-,-,-,-,
1987-04-24,データイースト,探偵神宮寺三郎新宿中央公園殺人事件💾,-,8,ADV,"￥3,300","￥3,500代",0,2,,,,,,,,-,-,-,-,-,
