日付,性別,年齢,政党,都道府県,立候補者名,職業,職業カテゴリ(未使用),カウント,職業カテゴリ,選挙制度,小選挙区,前・元・新,当選回数,推薦,性別>年齢,政党>性別,政党>年齢>性別,政党>都道府県,政党>職業カテゴリ
2024-10-27,♂男性,43,立民,東京都,山岸 一生♂(43),元朝日新聞記者、元立憲民主党政務調査会長筆頭補佐,0,1,記者,小選挙区,09,前,2,-,,,,,
2024-10-27,♂男性,47,自民,東京都,鈴木 隼人♂(47),元外務政務官、元経済産業省職員,0,1,政務官,小選挙区,10,前,4,公明,,,,,
2024-10-27,♂男性,68,立民,東京都,阿久津 幸彦♂(68),元総理大臣補佐官、元内閣府政務官,0,1,大臣,小選挙区,11,元,5,-,,,,,
2024-10-27,♂男性,59,自民,東京都,高木 啓♂(59),元外務政務官、元東京都議会議員,0,1,政務官,小選挙区,12,前,3,公明,,,,,
2024-10-27,♂男性,33,自民,東京都,土田 慎♂(33),デジタル政務官、元参議院議員秘書,0,1,政務官,小選挙区,13,前,2,公明,,,,,
2024-10-27,♀女性,68,自民,東京都,松島 みどり♀(68),元法務大臣、元自民党広報本部長,0,1,大臣,小選挙区,14,前,8,公明,,,,,
2024-10-27,♀女性,38,立民,東京都,酒井 菜摘♀(38),元東京都江東区議会議員、助産師,0,1,議員,小選挙区,15,前,2,-,,,,,
2024-10-27,♂男性,46,自民,東京都,大西 洋平♂(46),元東京都江戸川区議会議員、元衆議院議員秘書,0,1,議員,小選挙区,16,新,1,公明,,,,,
2024-10-27,♂男性,79,無,東京都,平沢 勝栄♂(79),元復興大臣、元内閣府副大臣,0,1,大臣,小選挙区,17,前,10,-,,,,,
2024-10-27,♀女性,39,自民,東京都,福田 かおる♀(39),元農林水産省職員、元法務大臣秘書官,0,1,官僚,小選挙区,18,新,1,公明,,,,,
2024-10-27,♂男性,67,立民,東京都,末松 義規♂(67),元復興副大臣、元総理大臣補佐官,0,1,大臣,小選挙区,19,前,8,-,,,,,
2024-10-27,♂男性,54,自民,東京都,木原 誠二♂(54),自民党選挙対策委員長代理、元官房副長官,0,1,政党役職,小選挙区,20,前,6,公明,,,,,
2024-10-27,♀女性,71,立民,東京都,大河原 雅子♀(71),元参議院議員、元東京都議会議員,0,1,議員,小選挙区,21,前,3,社民都連合,,,,,
2024-10-27,♂男性,57,立民,東京都,山花 郁夫♂(57),元法務副大臣、元衆議院憲法審査会会長代理,0,1,大臣,小選挙区,22,元,5,-,,,,,
2024-10-27,♂男性,45,立民,東京都,伊藤 俊輔♂(45),立憲民主党副幹事長、元航空貨物会社社長,0,1,政党役職,小選挙区,23,前,3,社民都連合,,,,,
2024-10-27,♂男性,61,無,東京都,萩生田 光一♂(61),元自民党政務調査会長、元経済産業大臣,0,1,政党役職,小選挙区,24,前,7,自民地域支部（八王子）,,,,,
2024-10-27,♂男性,55,自民,東京都,井上 信治♂(55),自民党東京都連会長、元万博担当大臣,0,1,政党役職,小選挙区,25,前,8,公明,,,,,
2024-10-27,♂男性,68,無,東京都,松原 仁♂(68),元拉致問題担当大臣、元国家公安委員長,0,1,大臣,小選挙区,26,前,9,-,,,,,
2024-10-27,♂男性,64,立民,東京都,長妻 昭♂(64),元厚生労働大臣、立憲民主党代表代行,0,1,大臣,小選挙区,27,前,9,-,,,,,
2024-10-27,♂男性,50,立民,東京都,高松 智之♂(50),元東京都練馬区議会議員、元参議院議員秘書,0,1,議員,小選挙区,28,新,1,-,,,,,
2024-10-27,♂男性,59,公明,東京都,岡本 三成♂(59),公明党政務調査会長、元財務副大臣,0,1,政党役職,小選挙区,29,前,5,自民,,,,,
2024-10-27,♀女性,40,立民,東京都,五十嵐 衣里♀(40),元東京都議会議員、弁護士,0,1,議員,小選挙区,30,新,1,-,,,,,
2024-10-27,♂男性,49,立民,神奈川県,篠原 豪♂(49),元横浜市議会議員、立憲民主党政務調査会副会長,0,1,議員,小選挙区,01,前,4,-,,,,,
2024-10-27,♂男性,75,自民,神奈川県,菅 義偉♂(75),元総理大臣、元官房長官,0,1,大臣,小選挙区,02,前,10,公明,,,,,
2024-10-27,♂男性,60,自民,神奈川県,中西 健治♂(60),元財務副大臣、元証券会社副社長,0,1,大臣,小選挙区,03,前,2,公明,,,,,
2024-10-27,♀女性,65,立民,神奈川県,早稲田 夕季♀(65),元神奈川県議会議員、元神奈川県鎌倉市議会議員,0,1,議員,小選挙区,04,前,3,-,,,,,
2024-10-27,♂男性,59,自民,神奈川県,坂井 学♂(59),国家公安委員長、元内閣官房副長官,0,1,政党役職,小選挙区,05,前,6,公明,,,,,
2024-10-27,♂男性,55,立民,神奈川県,青柳 陽一郎♂(55),立憲民主党神奈川県連代表、NPO法人会長,0,1,政党役職,小選挙区,06,前,5,-,,,,,
2024-10-27,♂男性,41,立民,神奈川県,中谷 一馬♂(41),立憲民主党神奈川県連幹事長、元神奈川県議会議員,0,1,政党役職,小選挙区,07,前,3,-,,,,,
2024-10-27,♂男性,68,立民,神奈川県,江田 憲司♂(68),元立憲民主党代表代行、元総理大臣秘書官,0,1,政党役職,小選挙区,08,前,8,-,,,,,
2024-10-27,♂男性,59,立民,神奈川県,笠 浩史♂(59),立憲民主党国会対策委員長、元文部科学副大臣,0,1,政党役職,小選挙区,09,前,8,-,,,,,
2024-10-27,♂男性,75,自民,神奈川県,田中 和徳♂(75),元復興大臣、元自民党組織運動本部長,0,1,大臣,小選挙区,10,前,10,公明,,,,,
2024-10-27,♂男性,43,自民,神奈川県,小泉 進次郎♂(43),自民党選挙対策委員長、元環境大臣,0,1,政党役職,小選挙区,11,前,6,-,,,,,
2024-10-27,♀女性,76,立民,神奈川県,阿部 知子♀(76),元立憲民主党神奈川県連代表、医師,0,1,政党役職,小選挙区,12,前,9,社民県連合,,,,,
2024-10-27,♂男性,47,立民,神奈川県,太 栄志♂(47),元米シンクタンク職員、元衆議院議員秘書,0,1,官僚,小選挙区,13,前,2,-,,,,,
2024-10-27,♂男性,56,自民,神奈川県,赤間 二郎♂(56),元総務副大臣、元内閣府副大臣,0,1,大臣,小選挙区,14,前,6,公明,,,,,
2024-10-27,♂男性,61,自民,神奈川県,河野 太郎♂(61),元デジタル大臣、元外務大臣,0,1,大臣,小選挙区,15,前,10,公明,,,,,
2024-10-27,♂男性,55,立民,神奈川県,後藤 祐一♂(55),立憲民主党国会対策委員長代理、立憲民主党神奈川県連選挙対策委員長,0,1,政党役職,小選挙区,16,前,6,-,,,,,
2024-10-27,♀女性,47,自民,神奈川県,牧島 かれん♀(47),元デジタル大臣、元内閣府政務官,0,1,大臣,小選挙区,17,前,5,公明,,,,,
2024-10-27,♂男性,31,立民,神奈川県,宗野 創♂(31),元三井住友銀行行員、元こども支援団体事務局長,0,1,会社員,小選挙区,18,新,1,社民県連合,,,,,
2024-10-27,♂男性,42,自民,神奈川県,草間 剛♂(42),元横浜市議会議員、元参議院議員秘書,0,1,議員,小選挙区,19,新,1,公明,,,,,
2024-10-27,♀女性,44,立民,神奈川県,大塚 小百合♀(44),社会福祉法人常務理事、元相模原市高齢者福祉施設協議会副会長,0,1,団体役員,小選挙区,20,新,1,社民県連合,,,,,
2024-10-27,♀女性,57,立民,新潟県,西村 智奈美♀(57),元厚生労働副大臣、元立憲民主党代表代行,0,1,大臣,小選挙区,01,前,7,社民県連合,,,,,
2024-10-27,♀女性,55,立民,新潟県,菊田 真紀子♀(55),元外務政務官、立憲民主党常任幹事会議長,0,1,政務官,小選挙区,02,前,8,社民県連合,,,,,
2024-10-27,♂男性,58,立民,新潟県,黒岩 宇洋♂(58),元法務政務官、元立憲民主党国会対策委員長代理,0,1,政務官,小選挙区,03,元,4,社民県連合,,,,,
2024-10-27,♂男性,57,立民,新潟県,米山 隆一♂(57),元新潟県知事、弁護士,0,1,首長,小選挙区,04,前,2,社民県連合,,,,,
