年月,DI,未使用1,経営動向・景況感,現状・見通,変化,未使用4,ジョブカテゴリ,カウント
2015-11-01,売上高DI,-,経営動向,-,やや減少,-,0,2570
2015-11-01,売上高DI,-,経営動向,-,変わらない,-,0,3720
2015-11-01,売上高DI,-,経営動向,-,やや増加,-,0,2790
2015-11-01,売上高DI,-,経営動向,-,かなり増加,-,0,180
2015-12-01,売上高DI,-,経営動向,-,かなり減少,-,0,500
2015-12-01,売上高DI,-,経営動向,-,やや減少,-,0,2790
2015-12-01,売上高DI,-,経営動向,-,変わらない,-,0,3960
2015-12-01,売上高DI,-,経営動向,-,やや増加,-,0,2520
2015-12-01,売上高DI,-,経営動向,-,かなり増加,-,0,230
2016-01-01,売上高DI,-,経営動向,-,かなり減少,-,0,410
2016-01-01,売上高DI,-,経営動向,-,やや減少,-,0,1990
2016-01-01,売上高DI,-,経営動向,-,変わらない,-,0,3890
2016-01-01,売上高DI,-,経営動向,-,やや増加,-,0,3390
2016-01-01,売上高DI,-,経営動向,-,かなり増加,-,0,320
2016-02-01,売上高DI,-,経営動向,-,かなり減少,-,0,280
2016-02-01,売上高DI,-,経営動向,-,やや減少,-,0,1840
2016-02-01,売上高DI,-,経営動向,-,変わらない,-,0,3250
2016-02-01,売上高DI,-,経営動向,-,やや増加,-,0,4100
2016-02-01,売上高DI,-,経営動向,-,かなり増加,-,0,520
2016-03-01,売上高DI,-,経営動向,-,かなり減少,-,0,430
2016-03-01,売上高DI,-,経営動向,-,やや減少,-,0,3050
2016-03-01,売上高DI,-,経営動向,-,変わらない,-,0,3240
2016-03-01,売上高DI,-,経営動向,-,やや増加,-,0,3050
2016-03-01,売上高DI,-,経営動向,-,かなり増加,-,0,240
2016-04-01,売上高DI,-,経営動向,-,かなり減少,-,0,290
2016-04-01,売上高DI,-,経営動向,-,やや減少,-,0,3130
2016-04-01,売上高DI,-,経営動向,-,変わらない,-,0,3410
2016-04-01,売上高DI,-,経営動向,-,やや増加,-,0,2980
2016-04-01,売上高DI,-,経営動向,-,かなり増加,-,0,190
2016-05-01,売上高DI,-,経営動向,-,かなり減少,-,0,540
2016-05-01,売上高DI,-,経営動向,-,やや減少,-,0,4580
2016-05-01,売上高DI,-,経営動向,-,変わらない,-,0,2960
2016-05-01,売上高DI,-,経営動向,-,やや増加,-,0,1820
2016-05-01,売上高DI,-,経営動向,-,かなり増加,-,0,100
2016-06-01,売上高DI,-,経営動向,-,かなり減少,-,0,440
2016-06-01,売上高DI,-,経営動向,-,やや減少,-,0,3350
2016-06-01,売上高DI,-,経営動向,-,変わらない,-,0,3990
2016-06-01,売上高DI,-,経営動向,-,やや増加,-,0,2070
2016-06-01,売上高DI,-,経営動向,-,かなり増加,-,0,150
2016-07-01,売上高DI,-,経営動向,-,かなり減少,-,0,640
2016-07-01,売上高DI,-,経営動向,-,やや減少,-,0,3000
2016-07-01,売上高DI,-,経営動向,-,変わらない,-,0,3550
2016-07-01,売上高DI,-,経営動向,-,やや増加,-,0,2560
2016-07-01,売上高DI,-,経営動向,-,かなり増加,-,0,250
2016-08-01,売上高DI,-,経営動向,-,かなり減少,-,0,1260
2016-08-01,売上高DI,-,経営動向,-,やや減少,-,0,5150
2016-08-01,売上高DI,-,経営動向,-,変わらない,-,0,2330
2016-08-01,売上高DI,-,経営動向,-,やや増加,-,0,1170
2016-08-01,売上高DI,-,経営動向,-,かなり増加,-,0,100
2016-09-01,売上高DI,-,経営動向,-,かなり減少,-,0,1260
2016-09-01,売上高DI,-,経営動向,-,やや減少,-,0,4220
2016-09-01,売上高DI,-,経営動向,-,変わらない,-,0,3010
2016-09-01,売上高DI,-,経営動向,-,やや増加,-,0,1260
2016-09-01,売上高DI,-,経営動向,-,かなり増加,-,0,240
2016-10-01,売上高DI,-,経営動向,-,かなり減少,-,0,540
2016-10-01,売上高DI,-,経営動向,-,やや減少,-,0,2650
2016-10-01,売上高DI,-,経営動向,-,変わらない,-,0,3190
2016-10-01,売上高DI,-,経営動向,-,やや増加,-,0,3330
2016-10-01,売上高DI,-,経営動向,-,かなり増加,-,0,290
2016-11-01,売上高DI,-,経営動向,-,かなり減少,-,0,540
2016-11-01,売上高DI,-,経営動向,-,やや減少,-,0,2770
2016-11-01,売上高DI,-,経営動向,-,変わらない,-,0,3070
2016-11-01,売上高DI,-,経営動向,-,やや増加,-,0,3320
2016-11-01,売上高DI,-,経営動向,-,かなり増加,-,0,300
2016-12-01,売上高DI,-,経営動向,-,かなり減少,-,0,600
2016-12-01,売上高DI,-,経営動向,-,やや減少,-,0,3080
2016-12-01,売上高DI,-,経営動向,-,変わらない,-,0,3430
2016-12-01,売上高DI,-,経営動向,-,やや増加,-,0,2840
2016-12-01,売上高DI,-,経営動向,-,かなり増加,-,0,50
2017-01-01,売上高DI,-,経営動向,-,かなり減少,-,0,800
2017-01-01,売上高DI,-,経営動向,-,やや減少,-,0,3330
2017-01-01,売上高DI,-,経営動向,-,変わらない,-,0,3730
2017-01-01,売上高DI,-,経営動向,-,やや増加,-,0,2140
2017-01-01,売上高DI,-,経営動向,-,かなり増加,-,0,0
2017-02-01,売上高DI,-,経営動向,-,かなり減少,-,0,1520
2017-02-01,売上高DI,-,経営動向,-,やや減少,-,0,4900
2017-02-01,売上高DI,-,経営動向,-,変わらない,-,0,2630
2017-02-01,売上高DI,-,経営動向,-,やや増加,-,0,960
2017-02-01,売上高DI,-,経営動向,-,かなり増加,-,0,0
2017-03-01,売上高DI,-,経営動向,-,かなり減少,-,0,890
2017-03-01,売上高DI,-,経営動向,-,やや減少,-,0,4460
2017-03-01,売上高DI,-,経営動向,-,変わらない,-,0,2970
2017-03-01,売上高DI,-,経営動向,-,やや増加,-,0,1680
2017-03-01,売上高DI,-,経営動向,-,かなり増加,-,0,0
2017-04-01,売上高DI,-,経営動向,-,かなり減少,-,0,660
2017-04-01,売上高DI,-,経営動向,-,やや減少,-,0,3570
2017-04-01,売上高DI,-,経営動向,-,変わらない,-,0,3190
2017-04-01,売上高DI,-,経営動向,-,やや増加,-,0,2440
2017-04-01,売上高DI,-,経営動向,-,かなり増加,-,0,140
2017-05-01,売上高DI,-,経営動向,-,かなり減少,-,0,850
2017-05-01,売上高DI,-,経営動向,-,やや減少,-,0,4550
2017-05-01,売上高DI,-,経営動向,-,変わらない,-,0,2700
2017-05-01,売上高DI,-,経営動向,-,やや増加,-,0,1850
2017-05-01,売上高DI,-,経営動向,-,かなり増加,-,0,50
2017-06-01,売上高DI,-,経営動向,-,かなり減少,-,0,1070
2017-06-01,売上高DI,-,経営動向,-,やや減少,-,0,4070
2017-06-01,売上高DI,-,経営動向,-,変わらない,-,0,3220
2017-06-01,売上高DI,-,経営動向,-,やや増加,-,0,1530
2017-06-01,売上高DI,-,経営動向,-,かなり増加,-,0,110
2017-07-01,売上高DI,-,経営動向,-,かなり減少,-,0,1020
2017-07-01,売上高DI,-,経営動向,-,やや減少,-,0,4590
2017-07-01,売上高DI,-,経営動向,-,変わらない,-,0,2650
2017-07-01,売上高DI,-,経営動向,-,やや増加,-,0,1680
2017-07-01,売上高DI,-,経営動向,-,かなり増加,-,0,50
2017-08-01,売上高DI,-,経営動向,-,かなり減少,-,0,1030
2017-08-01,売上高DI,-,経営動向,-,やや減少,-,0,3730
2017-08-01,売上高DI,-,経営動向,-,変わらない,-,0,3330
2017-08-01,売上高DI,-,経営動向,-,やや増加,-,0,1760
2017-08-01,売上高DI,-,経営動向,-,かなり増加,-,0,150
2017-09-01,売上高DI,-,経営動向,-,かなり減少,-,0,970
2017-09-01,売上高DI,-,経営動向,-,やや減少,-,0,3420
2017-09-01,売上高DI,-,経営動向,-,変わらない,-,0,3110
2017-09-01,売上高DI,-,経営動向,-,やや増加,-,0,2400
2017-09-01,売上高DI,-,経営動向,-,かなり増加,-,0,100
2017-10-01,売上高DI,-,経営動向,-,かなり減少,-,0,1870
2017-10-01,売上高DI,-,経営動向,-,やや減少,-,0,4090
2017-10-01,売上高DI,-,経営動向,-,変わらない,-,0,3010
2017-10-01,売上高DI,-,経営動向,-,やや増加,-,0,930
2017-10-01,売上高DI,-,経営動向,-,かなり増加,-,0,100
2017-11-01,売上高DI,-,経営動向,-,かなり減少,-,0,1130
2017-11-01,売上高DI,-,経営動向,-,やや減少,-,0,3840
2017-11-01,売上高DI,-,経営動向,-,変わらない,-,0,3050
2017-11-01,売上高DI,-,経営動向,-,やや増加,-,0,1970
2017-11-01,売上高DI,-,経営動向,-,かなり増加,-,0,0
2017-12-01,売上高DI,-,経営動向,-,かなり減少,-,0,610
2017-12-01,売上高DI,-,経営動向,-,やや減少,-,0,3110
2017-12-01,売上高DI,-,経営動向,-,変わらない,-,0,3320
2017-12-01,売上高DI,-,経営動向,-,やや増加,-,0,2760
2017-12-01,売上高DI,-,経営動向,-,かなり増加,-,0,200
